"","x"
"1121",17
"1122",17
"1123",17
"1124",17
"1125",17
"1126",9
"1127",4
"1128",15
"1129",15
"1130",13
"1131",6
"1132",9
"1133",3
"1134",2
"1135",5
"1136",6
"1137",13
"1138",16
"1139",16
"1140",16
"1141",6
"1142",11
"1143",11
"1144",1
"1145",2
"1146",16
"1147",2
"1148",2
"1149",16
"1150",5
"1151",13
"1152",3
"1153",16
"1154",1
"1155",1
"1156",1
"1157",8
"1158",8
"1159",4
"1160",4
"1161",4
"1162",3
"1163",8
"1164",8
"1165",11
"1166",15
"1167",2
"1168",6
"1169",16
"1170",5
"1171",9
"1172",15
"1173",4
"1174",4
"1175",5
"1176",4
"1177",15
"1178",9
"1179",6
"1180",1
"1181",13
"1182",13
"1183",5
"1184",13
"1185",13
"1186",9
"1187",2
"1188",10
"1189",6
"1190",5
"1191",11
